Tahun,Kabupaten_Kota,Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Pertanian (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Industri (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Jasa (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Jumlah (Rp)
2023,Musi Banyuasin,24379990.0,23201370.0,24039460.0,24156780.0
2023,Banyu Asin,26419810.0,19065860.0,20057080.0,23975370.0
2023,Ogan Komering Ulu Selatan,10680010.0,13273090.0,13699760.0,11670180.0
2023,Ogan Komering Ulu Timur,12191910.0,15846930.0,14246470.0,13228830.0
2023,Ogan Ilir,13675510.0,14839290.0,20773820.0,16399460.0
2023,Empat Lawang,10693340.0,16193880.0,17473030.0,13646980.0
2023,Penukal Abab Lematang Ilir,13361280.0,17505970.0,15937560.0,14550860.0
2023,Musi Rawas Utara,18387540.0,20367730.0,22025480.0,19681650.0
2023,Kota Palembang,,24467360.0,23155360.0,23217260.0
2023,Kota Prabumulih,12809490.0,15734950.0,16748590.0,15522320.0
2023,Kota Pagar Alam,16755860.0,18684800.0,20154270.0,18657780.0
2023,Kota Lubuklinggau,12537980.0,,15456950.0,23737990.0
2023,Sumatera Selatan,16981330.0,21857400.0,19832180.0,18807830.0
2023,"1</sup> Pekerja Informal/ Informal Employee : Pekerja yang berstatus berusaha sendiri dan pekerja bebas di sektor pertanian dan nonpertanian/ Employment   status are self employed, casual agricultural worker, and casual non-agricultural worker",,,,
2023,"Industri: Pertambangan dan Penggalian, Industri, Listrik, Gas, dan Air Minum, Konstruksi/ <i>Manufacture: Mining, Manufacturing Industry, Electricity, Gas,   Water, and Construction</i>.",,,,
2023,"Jasa: Perdagangan, Rumah Makan, dan Jasa Akomodasi, Transportasi, Pergudangan dan Komunikasi, Lembaga Keuangan, Real Estate, Usaha Persewaan dan Jasa Perusahaan, Jasa Kemasyarakatan, Sosial dan Perorangan/ <i>Services: Wholesale Trade, Retail Trade, Restaurants and Hotels,   Transportation, Warehousing, and Communication, Financing, Insurance, Real Estate, Business Services, and Public Service </i>",,,,
2019,Ogan Komering Ulu,12067570.0,15922340.0,15425690.0,13930000.0
2019,Ogan Komering Ilir,14292370.0,15810230.0,14778620.0,14631240.0
2019,Muara Enim,13411640.0,17670360.0,20796570.0,16451280.0
2019,Lahat,11705030.0,15672790.0,14284440.0,13118390.0
2019,Musi Rawas,15308290.0,17369840.0,17753800.0,16295850.0
2019,Musi Banyuasin,16642500.0,19387720.0,20227700.0,18303400.0
2019,Banyu Asin,16020240.0,18911060.0,19406650.0,17706210.0
2019,Ogan Komering Ulu Selatan,13764540.0,20396150.0,16144230.0,15002990.0
2019,Ogan Komering Ulu Timur,13553500.0,17121160.0,15480820.0,14546450.0
2019,Ogan Ilir,9997830.0,15365940.0,18683010.0,15053870.0
2019,Empat Lawang,6602390.0,11664590.0,12730890.0,8741180.0
2019,Penukal Abab Lematang Ilir,10542440.0,19342800.0,14832030.0,12728930.0
2019,Musi Rawas Utara,11065490.0,15224220.0,20147710.0,13979590.0
2019,Kota Palembang,13894490.0,20886090.0,24636770.0,23920640.0
2019,Kota Prabumulih,12735650.0,13769030.0,14487540.0,13997210.0
2019,Kota Pagar Alam,11278520.0,17533220.0,16008840.0,14146590.0
2019,Kota Lubuklinggau,11947250.0,21034680.0,16301160.0,15978390.0
2019,Sumatera Selatan,13390480.0,17939720.0,19518740.0,16751660.0
